millis_ms,date,time,lat,lon,mag_x,mag_y,mag_z,mag_total,heading_deg,front_dist_cm,mag_samples,was_moving,ir_temp_c
7590,2026-07-23,10:18:42,46.770403,23.591207,-230.0,670.0,1431.0,1596.7,109,999,5,0,21.13
10078,2026-07-23,10:18:44,46.770402,23.591215,-180.0,671.4,1367.0,1533.6,105,231,5,0,21.04
12400,2026-07-23,10:18:46,46.7704,23.591223,-48.2,694.9,1372.4,1539.1,94,131,5,0,21.16
14822,2026-07-23,10:18:49,46.770401,23.591231,131.1,718.0,1482.6,1652.6,80,999,5,0,21.19
17272,2026-07-23,10:18:51,46.770401,23.591241,117.6,691.8,1339.0,1511.7,80,999,5,0,21.13
19837,2026-07-23,10:18:54,46.770403,23.591249,80.3,701.7,1417.6,1583.8,83,999,5,0,21.36
22284,2026-07-23,10:18:56,46.770403,23.591257,-66.7,679.1,1303.7,1471.5,96,999,5,0,21.28
24814,2026-07-23,10:18:59,46.770403,23.591266,-42.1,734.8,1536.6,1703.8,93,999,5,0,21.32
27275,2026-07-23,10:19:01,46.770402,23.591274,23.8,665.0,1350.4,1505.5,88,116,5,0,21.28
29894,2026-07-23,10:19:04,46.770403,23.59128,46.7,677.5,1374.1,1532.8,86,354,5,0,21.21
32407,2026-07-23,10:19:06,46.770402,23.591291,-145.1,700.9,1361.0,1537.8,102,999,5,0,21.4
34920,2026-07-23,10:19:09,46.770401,23.591299,-138.6,665.7,1339.7,1502.4,102,126,5,0,21.52
37442,2026-07-23,10:19:11,46.7704,23.591306,-29.5,714.8,1451.1,1617.9,92,999,5,0,21.39
39984,2026-07-23,10:19:14,46.770399,23.591317,26.7,692.1,1345.8,1513.6,88,85,5,0,21.33
42244,2026-07-23,10:19:16,46.770401,23.591323,115.9,750.5,1474.2,1658.3,81,999,5,0,21.19
44754,2026-07-23,10:19:19,46.770401,23.591334,-64.3,696.0,1344.7,1515.5,95,256,5,0,21.19
47158,2026-07-23,10:19:21,46.770401,23.591341,136.1,736.2,1467.2,1647.2,80,999,5,0,21.2
49571,2026-07-23,10:19:23,46.770402,23.591348,-27.5,648.3,1346.7,1494.9,92,999,5,0,21.3
51874,2026-07-23,10:19:26,46.770401,23.591356,38.4,685.7,1323.8,1491.3,87,999,5,0,21.23
54385,2026-07-23,10:19:28,46.770402,23.591367,72.9,704.3,1410.0,1577.8,84,999,5,0,21.26
56750,2026-07-23,10:19:31,46.770403,23.591376,122.3,689.3,1392.5,1558.6,80,264,5,0,21.26
59200,2026-07-23,10:19:33,46.770404,23.591384,108.9,706.8,1397.0,1569.4,81,201,5,0,21.31
61711,2026-07-23,10:19:36,46.770405,23.591392,186.3,671.1,1405.3,1568.4,74,999,5,0,21.2
64129,2026-07-23,10:19:38,46.770406,23.591398,76.8,703.4,1295.8,1476.4,84,999,5,0,21.07
66676,2026-07-23,10:19:41,46.770406,23.591406,-76.9,671.1,1414.5,1567.5,97,999,5,0,21.1
69080,2026-07-23,10:19:43,46.770405,23.591418,-70.1,709.0,1365.3,1540.0,96,999,5,0,21.01
71482,2026-07-23,10:19:45,46.770405,23.591425,12.0,729.0,1416.8,1593.4,89,256,5,0,20.97
73979,2026-07-23,10:19:48,46.770406,23.591433,231.0,672.5,1381.3,1553.5,71,999,5,0,21.08
76435,2026-07-23,10:19:50,46.770407,23.591437,19.2,663.3,1317.7,1475.4,88,999,5,0,21.03
78813,2026-07-23,10:19:53,46.770406,23.59145,-89.8,724.2,1405.4,1583.6,97,999,5,0,20.91
81250,2026-07-23,10:19:55,46.770406,23.59146,45.0,674.4,1317.8,1481.0,86,999,5,0,21.01
83693,2026-07-23,10:19:58,46.770407,23.591466,17.0,727.4,1518.6,1683.9,89,999,5,0,20.97
86207,2026-07-23,10:20:00,46.770407,23.591475,43.4,653.4,1306.4,1461.3,86,248,5,0,20.81
88684,2026-07-23,10:20:03,46.770407,23.591483,79.7,719.6,1458.7,1628.5,84,181,5,0,20.97
91292,2026-07-23,10:20:05,46.770408,23.591494,-47.2,656.2,1252.4,1414.7,94,999,5,0,20.81
93951,2026-07-23,10:20:08,46.770406,23.591501,-99.0,705.1,1409.0,1578.7,98,99,5,0,20.75
96279,2026-07-23,10:20:10,46.770406,23.591511,-133.8,657.6,1356.4,1513.3,101,48,5,0,20.87
98658,2026-07-23,10:20:13,46.770404,23.591516,7.7,712.4,1382.5,1555.3,89,147,5,0,20.82
101014,2026-07-23,10:20:15,46.770406,23.591527,123.5,701.4,1382.6,1555.3,80,77,5,0,20.94
103535,2026-07-23,10:20:17,46.770406,23.591535,-104.8,658.5,1297.2,1458.5,99,999,5,0,20.87
105982,2026-07-23,10:20:20,46.770405,23.591541,-64.4,709.6,1338.4,1516.3,95,999,5,0,20.84
108554,2026-07-23,10:20:22,46.770404,23.591549,-22.6,705.5,1371.2,1542.3,92,277,5,0,20.96
111025,2026-07-23,10:20:25,46.770404,23.591559,61.6,698.2,1357.8,1528.0,85,999,5,0,20.93
113467,2026-07-23,10:20:27,46.770404,23.591567,686.3,182.4,1376.8,1549.1,15,999,5,0,21.09
115974,2026-07-23,10:20:30,46.770425,23.591566,717.5,-188.3,1429.9,1610.8,-15,999,5,0,20.82
118340,2026-07-23,10:20:32,46.770423,23.591559,-105.9,-753.8,1454.1,1641.3,-98,999,5,0,20.96
120760,2026-07-23,10:20:35,46.770424,23.591552,175.3,-713.9,1395.6,1577.4,-76,999,5,0,20.84
123131,2026-07-23,10:20:37,46.770425,23.591543,99.1,-701.3,1378.2,1549.6,-82,999,5,0,20.73
125350,2026-07-23,10:20:39,46.770425,23.591532,20.1,-761.7,1459.9,1646.8,-88,999,5,0,20.78
127911,2026-07-23,10:20:42,46.770426,23.591526,-72.2,-722.5,1390.1,1568.3,-96,999,5,0,20.82
130293,2026-07-23,10:20:44,46.770424,23.591514,-57.5,-751.9,1427.9,1614.8,-94,999,5,0,20.88
132647,2026-07-23,10:20:47,46.770425,23.591511,75.4,-755.2,1483.6,1666.4,-84,92,5,0,20.71
135039,2026-07-23,10:20:49,46.770426,23.591501,-36.1,-736.2,1418.9,1598.9,-93,999,5,0,20.68
137482,2026-07-23,10:20:51,46.770425,23.591491,-35.6,-713.1,1452.5,1618.5,-93,999,5,0,20.68
139903,2026-07-23,10:20:54,46.770425,23.591484,-41.2,-743.5,1437.6,1618.9,-93,999,5,0,20.67
142449,2026-07-23,10:20:56,46.770425,23.591477,-10.1,-753.3,1451.3,1635.2,-91,280,5,0,20.95
145091,2026-07-23,10:20:59,46.770424,23.591465,-62.3,-720.1,1447.2,1617.6,-95,999,5,0,20.8
147663,2026-07-23,10:21:02,46.770422,23.591458,-219.2,-622.7,1287.1,1446.5,-109,999,5,0,20.89
150094,2026-07-23,10:21:04,46.770421,23.59145,-5.9,-747.8,1427.8,1611.8,-90,999,5,0,20.76
152528,2026-07-23,10:21:06,46.770422,23.591442,120.0,-729.4,1415.0,1596.5,-81,999,5,0,20.88
154977,2026-07-23,10:21:09,46.770423,23.591435,130.1,-668.3,1386.3,1544.5,-79,999,5,0,20.98
157395,2026-07-23,10:21:11,46.770422,23.591427,-72.8,-742.5,1455.6,1635.6,-96,999,5,0,20.99
159827,2026-07-23,10:21:14,46.770422,23.591416,-88.5,-664.3,1354.5,1511.2,-98,999,5,0,20.97
162370,2026-07-23,10:21:16,46.770421,23.591409,-68.2,-779.3,1518.9,1708.5,-95,258,5,0,21.24
164611,2026-07-23,10:21:19,46.770421,23.591397,-13.5,-670.5,1347.4,1505.1,-91,999,5,0,21.02
167137,2026-07-23,10:21:21,46.77042,23.591391,67.6,-769.5,1513.4,1699.2,-85,999,5,0,20.9
169494,2026-07-23,10:21:23,46.770421,23.591381,32.9,-679.1,1365.8,1525.7,-87,999,5,0,21.06
172010,2026-07-23,10:21:26,46.770421,23.591374,87.9,-727.7,1446.2,1621.4,-83,999,5,0,21.27
174568,2026-07-23,10:21:28,46.770422,23.591367,157.2,-687.2,1413.6,1579.6,-77,999,5,0,21.14
177320,2026-07-23,10:21:31,46.770422,23.591359,-27.4,-697.2,1385.3,1551.1,-92,353,5,0,21.12
179761,2026-07-23,10:21:34,46.770422,23.591348,32.5,-740.1,1434.0,1614.1,-87,999,5,0,21.16
182274,2026-07-23,10:21:36,46.770422,23.591339,109.8,-688.4,1384.0,1549.7,-81,47,5,0,21.14
184812,2026-07-23,10:21:39,46.770423,23.59133,91.0,-771.0,1487.0,1677.4,-83,284,5,0,21.15
